Goaltender,IceX,IceY,Save
Brown,48.86043813,17.98262756,No
Brown,50.85811693,31.01118424,Yes
Brown,60.18061802,22.72028454,Yes
Brown,23.22356013,76.80853501,Yes
Brown,18.56230959,76.41373026,Yes
Brown,6.243290295,41.67091244,Yes
Brown,10.57159437,73.01840702,Yes
Brown,73.16553025,64.72750731,Yes
Brown,47.52865226,23.27300877,Yes
Brown,8.240969099,67.49114055,Yes
Brown,40.20382997,25.64183726,Yes
Brown,43.86624111,84.86254946,Yes
Brown,79.8244596,42.61844142,Yes
Brown,49.19338459,63.93789782,Yes
Brown,71.50079791,62.35867882,Yes
Brown,68.17133324,49.72492689,Yes
Brown,38.20615117,51.69895063,Yes
Brown,32.21311475,56.83141235,Yes
Brown,77.49383432,23.27300877,Yes
Brown,38.20615117,49.33012214,Yes
Brown,15.56579138,44.98726991,Yes
Brown,50.85811693,29.98468949,Yes
Brown,42.20150878,25.64183726,Yes
Brown,5.244450892,58.41063134,Yes
Brown,60.18061802,38.2755892,Yes
Brown,61.17945742,45.77687941,Yes
Brown,31.54722182,39.06519869,Yes
Brown,42.86740171,24.85222777,Yes
Brown,33.21195416,59.59504559,Yes
Brown,30.54838242,60.38465508,Yes
Brown,75.16320905,59.59504559,Yes
Brown,52.85579573,40.24961294,Yes
Brown,76.82794139,58.80543609,Yes
Brown,80.49035253,47.75090315,Yes
Brown,28.88365008,35.90676071,Yes
Brown,28.88365008,35.90676071,Yes
Brown,78.49267373,66.3067263,Yes
Brown,34.87668649,26.03664201,Yes
Brown,44.19918758,82.49372097,Yes
Brown,43.20034818,26.82625151,Yes
Brown,41.53561584,61.17426458,Yes
Brown,28.55070361,28.4054705,Yes
Brown,13.90105905,22.08859453,Yes
Brown,34.54374003,40.64441768,Yes
Brown,67.5054403,66.3067263,Yes
Brown,54.85347454,38.2755892,Yes
Brown,28.88365008,18.5353518,Yes
Brown,24.555346,62.75348357,Yes
Brown,45.53097345,24.85222777,Yes
Brown,40.20382997,18.93015655,Yes
Brown,69.83606557,58.0158266,Yes
Brown,37.54025823,60.38465508,Yes
Brown,27.88481068,52.09375538,Yes
Brown,45.53097345,24.06261827,Yes
Brown,70.83490498,61.56906933,Yes
Brown,67.17249383,58.41063134,Yes
Brown,43.86624111,22.87820403,Yes
Brown,19.89409546,69.07035954,Yes
Brown,42.20150878,52.88336487,Yes
Brown,59.51472508,41.03922243,Yes
Brown,19.89409546,83.28333047,Yes
Brown,30.88132888,27.22105625,Yes
Brown,29.88248948,22.08859453,Yes
Brown,76.16204846,38.2755892,Yes
Brown,38.8720441,22.08859453,Yes
Brown,46.86275932,19.71976604,Yes
Brown,43.20034818,29.19507999,Yes
Brown,42.53445524,22.87820403,Yes
Brown,60.84651095,54.85738861,No
Brown,38.8720441,22.48339928,Yes
Brown,42.53445524,63.54309307,Yes
Brown,52.52284927,46.96129365,Yes
Brown,50.192224,35.51195596,Yes
Brown,33.87784709,45.77687941,Yes
Smith,50.85811693,28.4054705,Yes
Smith,1.914986218,36.30156546,Yes
Smith,21.89177426,59.59504559,Yes
Smith,22.22472073,43.40805092,Yes
Smith,32.21311475,57.62102185,Yes
Smith,46.86275932,24.85222777,Yes
Smith,41.20266937,24.45742302,Yes
Smith,10.2386479,69.46516429,Yes
Smith,79.8244596,20.11457079,Yes
Smith,63.17713623,54.46258386,Yes
Smith,79.15856666,74.59762601,Yes
Smith,27.88481068,3.532771375,Yes
Smith,80.823299,52.88336487,Yes
Smith,78.82562019,29.58988474,Yes
Smith,72.16669085,41.43402718,Yes
Smith,39.87088351,70.25477378,Yes
Smith,65.5077615,43.40805092,No
Smith,43.86624111,47.75090315,Yes
Smith,30.21543595,64.72750731,Yes
Smith,47.52865226,61.56906933,Yes
Smith,16.23168432,26.82625151,Yes
Smith,34.87668649,60.77945983,Yes
Smith,16.89757725,64.72750731,Yes
Smith,29.21659655,74.99243076,Yes
Smith,39.20499057,16.16652331,No
Smith,42.86740171,26.82625151,Yes
Smith,40.86972291,16.95613281,Yes
Smith,25.88713187,67.49114055,No
Smith,38.53909764,17.35093755,Yes
Smith,32.21311475,18.93015655,No
Smith,7.908022632,38.67039394,Yes
Smith,69.83606557,41.82883193,Yes
Smith,45.53097345,34.32754172,Yes
Smith,77.16088786,30.77429899,Yes
Smith,30.54838242,61.17426458,Yes
Smith,37.54025823,63.14828832,Yes
Smith,79.49151313,71.04438328,Yes
Smith,30.54838242,57.2262171,Yes
Smith,2.580879153,74.20282126,Yes
Smith,79.15856666,48.1457079,Yes
Smith,67.5054403,33.93273697,Yes
Smith,34.54374003,31.16910373,Yes
Smith,38.53909764,21.29898503,Yes
Smith,37.20731177,18.5353518,Yes
Smith,29.88248948,57.62102185,No
Smith,27.88481068,61.17426458,Yes
Smith,52.52284927,86.44176845,Yes
Smith,28.88365008,59.20024084,Yes
Smith,25.88713187,53.27816962,Yes
Smith,38.8720441,28.80027525,Yes
Smith,28.55070361,22.48339928,Yes
Smith,39.87088351,24.45742302,Yes
